id;code;full_name;job_title;active
1;strange anaesthetise;thoroughly huzzah;Senior Identity Consultant;true
2;scrutinise;except because dulcimer;Investor Directives Producer;false
3;incidentally iridesc;pertinent;Customer Response Associate;false
4;concerned;duh;Investor Assurance Coordinator;false
5;inspect;upbeat;Investor Communications Executive;false
6;vicinity pfft;retention duh;Legacy Applications Supervisor;true
7;helpfully;especially scuttle likewise;Future Tactics Director;false
8;helplessly familiari;unto only round;Forward Marketing Agent;true
9;lid;underneath grandson meaty;Dynamic Mobility Executive;false
10;after unethically;eternity boo;Central Accountability Administrator;false
