id;code;name;tax_code;phone;email;address;active
1;joyfully;violently advanced;chunder belabor who;0291 4403 4080;TrangAnh26@yahoo.com;preside justly hourly;false
2;house around;when;aha near enrage;021 7924 8929;HongLinh.7kao31@gmail.com;boohoo indeed;true
3;brochure yellow whir;egg yum;above;0239 5367 7469;AnhLe.7koan@gmail.com;frozen recovery;true
4;ew;brochure once;partridge strategy;0230 5698 1826;ThuongCuong.Bui36@yahoo.com;eek upsell behind;true
5;apparatus tarry repe;equatorial whereas but;yippee behind up;027 0654 2033;ThanhKien_Ngo35@gmail.com;kit encouragement;true
6;since denitrify;emergent;though;0221 9305 0856;DieuLan.Vuong@gmail.com;bicycle finally platter;false
7;favorable;begonia ouch;subtract yuck zowie;0245 1498 6105;ThuVan.Tang@gmail.com;whether impressionable about;true
8;out which;painfully;accidentally issue annual;023 0831 8446;NgocHang.Trinh45@yahoo.com;uh-huh likable;false
9;eek surprisingly nor;limping coaxingly;inquisitively colorfully;0294 7401 9328;LapThanh.7kinh66@yahoo.com;paralyse across stable;true
10;whoever;gladly;defensive because;023 0388 4447;Ngoc7kiep_Bui@yahoo.com;trash when;true
